day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed
1,1008.9,33.0,30.1,27.7,26.0,79,78,1,5.3,190.0,21.9
2,1009.1,32.0,29.4,26.9,26.0,82,86,1,2.7,200.0,21.9
3,1008.7,31.5,29.4,27.3,25.8,82,84,1,1.8,190.0,25.1
4,1006.6,33.0,30.1,28.0,25.9,78,83,1,6.8,180.0,33.0
5,1007.5,32.6,29.0,25.8,26.5,87,88,1,5.4,130.0,22.5
6,1008.4,28.8,27.3,24.7,26.0,93,88,1,0.5,130.0,24.8
7,1005.9,34.0,30.2,27.9,25.6,77,53,1,10.5,270.0,11.3
8,1001.0,34.2,31.0,28.1,25.9,75,46,0,10.4,280.0,23.5
9,999.0,35.6,31.5,26.4,26.4,75,57,1,10.0,280.0,25.0
10,1000.3,31.3,28.6,26.2,25.0,81,88,1,2.5,240.0,18.8
11,1002.2,31.1,28.9,26.1,26.1,85,89,1,2.4,240.0,19.8
12,1003.8,29.0,28.1,27.0,25.1,84,88,1,0.0,230.0,16.3
13,1005.0,31.7,28.6,25.6,26.1,87,82,1,2.2,160.0,12.6
14,1006.8,30.3,28.9,26.4,26.2,86,83,1,0.2,230.0,14.3
15,1007.0,33.0,30.2,28.6,26.4,81,78,1,6.2,230.0,22.4
16,1008.1,33.2,30.6,29.0,26.4,79,69,1,8.5,240.0,25.1
17,1008.5,33.2,30.6,29.0,26.2,78,69,0,9.2,230.0,23.7
18,1007.5,32.4,30.4,28.7,25.3,74,72,1,10.1,230.0,23.7
19,1007.9,32.3,29.9,26.7,25.8,79,78,1,4.1,220.0,25.1
20,1009.8,31.9,29.2,25.6,25.6,82,70,1,6.4,220.0,22.6
21,1010.9,33.3,30.0,27.5,25.3,76,49,1,8.8,220.0,12.3
22,1010.3,32.9,30.0,28.1,25.2,76,29,0,11.4,240.0,14.5
23,1008.9,32.8,30.0,28.0,25.4,77,32,0,11.9,250.0,21.6
24,1008.4,34.0,30.4,28.0,24.6,72,21,0,12.1,240.0,16.0
25,1008.6,35.0,30.8,28.3,25.5,74,28,0,11.0,130.0,8.3
26,1008.3,32.0,29.4,27.0,26.4,84,57,1,7.4,60.0,17.5
27,1009.3,33.4,30.2,28.0,25.3,76,44,1,10.1,200.0,9.5
28,1009.7,32.9,30.1,28.1,24.8,74,29,0,11.8,240.0,12.8
29,1008.5,33.7,30.3,27.6,24.9,74,32,0,11.8,260.0,21.9
30,1006.6,33.5,29.9,28.7,24.7,74,49,1,6.3,270.0,16.1
31,1005.1,33.9,30.1,27.0,24.9,74,47,1,10.4,50.0,14.1
1,1011.2,32.2,28.9,26.9,24.6,78,69,0,10.7,20.0,11.8
2,1011.6,32.3,28.9,26.8,24.5,78,54,0,11.4,100.0,9.8
3,1010.6,33.3,29.5,27.3,24.5,75,38,0,10.3,20.0,5.5
4,1008.3,33.3,29.4,26.8,24.1,74,29,0,5.7,10.0,4.4
5,1006.1,33.3,29.6,27.6,24.4,74,27,0,10.8,220.0,8.7
6,1005.3,33.1,30.1,27.8,24.2,72,29,0,10.6,220.0,6.1
7,1003.4,33.3,30.7,28.2,24.9,72,40,0,10.0,290.0,10.9
8,998.5,36.3,32.4,30.0,24.0,62,55,0,10.8,290.0,17.2
9,998.5,34.7,31.0,26.9,24.8,71,80,1,10.0,220.0,26.4
10,1004.5,30.6,28.1,25.1,25.2,85,88,1,0.6,230.0,20.2
11,1007.3,32.8,29.2,26.3,25.4,81,77,1,6.5,220.0,13.9
12,1007.9,33.7,30.0,27.8,25.8,79,78,1,9.1,220.0,11.9
13,1007.9,29.6,28.0,26.4,25.6,87,84,1,0.1,230.0,22.9
14,1007.4,28.8,26.9,25.6,25.1,90,88,1,0.2,210.0,12.9
15,1008.5,28.6,27.0,24.9,25.0,89,88,1,0.3,220.0,14.2
16,1008.5,31.2,29.2,26.9,26.5,86,88,1,0.2,230.0,18.0
17,1008.2,32.4,29.9,28.3,26.6,83,81,1,8.4,230.0,20.5
18,1008.0,33.8,30.2,28.4,25.8,78,67,1,10.2,220.0,18.1
19,1007.7,32.8,30.1,28.1,25.7,77,59,0,10.4,230.0,16.6
20,1006.3,31.2,29.1,26.8,26.1,84,67,1,5.0,270.0,6.9
21,1002.2,33.4,30.0,26.9,25.5,77,70,0,7.7,350.0,13.6
22,1000.1,32.0,30.2,28.4,24.4,71,48,1,6.1,10.0,12.0
23,1000.0,32.9,30.6,28.0,24.2,69,30,1,7.6,220.0,11.7
24,1002.4,33.2,30.7,28.3,24.3,70,48,0,7.8,10.0,11.0
25,1005.5,34.4,30.6,27.9,23.2,65,22,0,9.1,10.0,10.7
26,1008.1,31.7,28.9,27.8,25.3,81,78,1,1.1,40.0,16.4
27,1008.1,32.4,29.0,27.0,25.0,79,75,0,6.7,200.0,12.0
28,1006.5,31.2,28.3,26.9,24.4,79,84,1,4.5,210.0,8.9
29,1006.2,29.6,27.8,26.5,24.8,84,87,1,3.1,230.0,11.0
30,1006.8,27.9,26.6,25.8,25.2,92,88,1,0.0,220.0,5.9
31,1007.4,29.0,27.4,25.8,25.0,87,88,1,0.9,40.0,5.7
1,1007.8,28.9,27.4,25.7,25.4,89,87,1,0.4,50.0,8.6
2,1010.9,27.7,25.8,24.5,24.8,94,88,1,0.0,110.0,16.5
3,1013.0,29.0,27.6,25.8,25.8,90,87,1,0.7,60.0,18.2
4,1013.1,32.9,29.1,27.0,25.7,82,60,0,8.7,80.0,9.8
5,1011.1,31.9,29.3,27.2,24.8,78,38,0,11.0,220.0,11.7
6,1008.1,32.3,29.6,27.8,25.6,79,43,0,9.7,240.0,24.9
7,1007.2,29.6,28.3,26.7,25.9,87,82,1,0.5,250.0,21.3
8,1009.4,30.7,27.9,26.4,23.1,75,60,0,8.3,60.0,29.0
9,1012.0,31.2,28.2,26.5,23.0,74,44,1,10.1,70.0,26.2
10,1012.7,31.3,28.1,26.5,23.2,75,47,0,7.9,60.0,24.5
11,1011.1,31.0,28.1,26.8,23.7,77,46,1,8.4,100.0,21.4
12,1011.5,30.5,27.9,26.2,23.2,76,66,1,6.7,90.0,22.6
13,1013.0,31.2,28.0,25.8,21.4,68,49,0,9.2,50.0,39.9
14,1012.2,31.4,28.0,25.9,22.1,71,46,0,9.3,60.0,41.3
15,1011.3,31.9,28.6,26.5,23.1,73,60,0,9.0,70.0,39.5
16,1011.9,31.0,28.1,26.9,24.5,81,86,1,2.1,70.0,32.2
17,1014.6,30.6,28.2,27.1,24.2,79,72,1,7.1,70.0,27.4
18,1015.0,31.8,28.5,26.8,24.0,77,47,1,8.6,70.0,14.5
19,1012.2,30.6,28.3,26.8,24.3,79,67,0,3.8,180.0,8.1
20,1009.3,31.1,28.7,27.1,24.5,78,74,1,7.7,200.0,14.5
21,1008.6,28.7,27.4,25.5,23.8,81,88,1,0.4,190.0,11.9
22,1009.9,31.0,28.1,26.3,25.5,86,67,1,8.8,110.0,14.8
23,1009.1,32.0,28.9,27.3,25.3,81,40,1,6.8,110.0,10.2
24,1006.7,32.0,29.3,27.4,24.7,77,23,0,11.1,230.0,17.3
25,1004.9,32.2,29.7,28.1,25.3,78,38,0,11.0,230.0,20.5
26,1006.7,32.2,28.7,26.9,26.3,87,71,1,4.7,90.0,14.0
27,1008.2,30.2,27.8,26.5,25.0,85,81,1,2.5,90.0,15.1
28,1006.7,32.8,29.0,25.8,20.6,61,30,0,11.1,10.0,16.4
29,1005.6,31.3,29.7,27.4,20.0,56,53,0,10.4,230.0,15.5
30,1011.0,32.7,29.8,28.2,24.8,75,78,1,8.5,140.0,12.7
1,1013.0,31.7,28.8,26.4,25.3,81,84,1,2.9,30.0,7.9
2,1012.4,31.6,27.9,26.5,23.1,76,82,1,4.2,10.0,30.6
3,1011.7,29.7,26.8,24.2,23.7,83,88,1,1.6,60.0,52.8
4,1013.2,27.8,26.7,24.9,25.2,92,95,1,0.0,120.0,50.7
5,1015.2,27.8,26.7,25.4,25.4,93,88,1,0.9,100.0,37.0
6,1014.1,26.8,26.0,25.3,25.4,97,86,1,0.4,100.0,30.4
7,1012.7,27.6,26.4,25.0,25.0,92,85,1,0.7,140.0,12.5
8,1010.5,30.0,27.8,26.1,23.1,76,54,0,10.6,300.0,13.0
9,1011.3,29.4,26.8,24.8,20.9,70,45,1,7.1,20.0,20.4
10,1013.7,26.6,24.3,21.1,19.9,77,85,1,0.6,20.0,30.2
11,1018.0,22.1,20.5,18.5,16.6,78,88,1,0.0,20.0,38.3
12,1019.0,24.9,23.1,21.0,16.8,67,88,1,0.0,50.0,28.2
13,1018.7,27.8,25.1,23.3,19.1,70,68,1,10.5,70.0,32.4
14,1017.4,28.2,25.0,23.1,20.1,75,51,0,7.4,70.0,23.9
15,1015.2,28.7,25.2,23.1,20.7,76,19,0,9.1,90.0,14.1
16,1013.8,29.4,25.8,23.3,20.4,73,20,0,10.5,30.0,9.9
17,1013.4,30.8,26.2,23.6,19.5,69,17,0,10.5,70.0,12.4
18,1012.5,29.1,25.5,23.5,19.3,70,43,0,9.7,60.0,8.9
19,1010.2,28.2,25.3,23.1,16.7,59,79,0,4.4,20.0,17.3
20,1008.3,29.1,26.2,23.8,17.3,58,78,0,7.5,10.0,17.2
21,1010.2,29.2,26.4,24.3,19.3,65,64,1,6.4,10.0,13.2
22,1012.0,30.6,27.0,25.3,20.9,70,48,0,7.8,120.0,9.2
23,1013.0,30.7,27.0,24.8,21.6,73,50,0,8.3,80.0,9.9
24,1015.0,29.6,26.8,24.9,22.1,76,61,1,8.2,80.0,19.7
25,1016.8,26.6,25.9,25.4,21.7,77,77,1,3.0,80.0,37.5
26,1016.8,26.2,25.4,24.5,22.3,83,81,1,0.8,80.0,28.9
27,1015.6,30.1,26.5,24.3,22.1,77,48,0,9.5,60.0,10.3
28,1017.0,29.2,26.7,25.5,23.3,82,46,1,9.5,110.0,15.8
29,1018.2,28.4,26.4,25.5,22.9,81,61,1,7.0,90.0,24.2
30,1017.8,29.6,26.7,25.3,23.1,81,53,0,8.4,100.0,16.5
31,1020.4,27.2,25.6,24.4,21.6,79,66,1,5.3,80.0,40.8
1,1020.9,24.5,22.9,20.5,17.8,73,61,0,4.3,20.0,29.6
2,1019.8,26.0,22.6,19.7,16.0,67,72,1,7.5,20.0,22.5
3,1019.5,25.8,23.7,22.3,18.8,74,82,1,2.4,70.0,32.9
4,1018.1,26.6,24.7,23.1,20.4,77,83,1,3.0,80.0,29.8
5,1016.1,28.2,25.8,24.5,22.0,80,82,1,6.5,70.0,28.3
6,1015.6,26.3,25.5,24.7,22.4,83,81,1,0.5,80.0,30.2
7,1016.3,28.4,26.2,25.2,23.4,85,87,1,3.4,80.0,24.8
8,1016.4,28.7,26.5,25.5,23.6,84,70,1,5.9,70.0,18.0
9,1015.8,30.3,26.7,24.8,23.3,82,58,1,7.7,50.0,12.8
10,1016.9,25.9,24.9,24.0,21.4,81,88,1,1.1,80.0,46.3
11,1017.7,25.4,23.8,22.6,20.6,82,85,1,2.6,80.0,43.8
12,1017.3,24.2,23.9,23.6,21.1,84,88,1,0.0,80.0,41.4
13,1015.2,25.3,23.3,21.0,22.1,92,86,1,0.3,80.0,29.7
14,1014.5,26.9,24.3,22.3,21.2,83,74,1,5.5,30.0,13.8
15,1015.2,24.8,24.2,23.5,22.3,89,84,1,0.1,80.0,35.8
16,1013.7,25.9,24.8,23.6,23.5,93,74,1,2.3,80.0,25.5
17,1013.9,27.2,25.5,24.4,23.8,90,51,0,7.0,80.0,17.2
18,1016.0,29.1,26.1,24.1,23.2,84,20,0,8.2,80.0,7.9
19,1017.0,28.5,25.9,24.5,22.9,84,58,1,5.9,70.0,22.1
20,1017.2,25.9,24.8,24.4,21.6,82,73,1,1.1,80.0,30.6
21,1017.0,26.0,24.8,23.9,21.1,80,83,0,0.4,70.0,40.4
22,1017.1,27.6,25.4,24.0,21.3,78,65,1,8.3,80.0,29.2
23,1016.7,28.4,25.4,23.7,21.2,78,47,0,7.7,90.0,19.6
24,1016.7,26.6,24.5,23.3,19.8,76,35,1,9.8,70.0,31.2
25,1017.7,25.3,22.6,18.2,16.8,70,44,0,6.9,20.0,28.6
26,1020.6,21.2,18.2,15.8,7.8,52,46,0,3.5,20.0,34.3
27,1022.4,20.4,18.4,15.3,9.7,57,44,0,8.6,60.0,39.3
28,1022.5,22.9,20.8,19.2,15.0,70,49,0,8.6,70.0,34.0
29,1021.2,24.1,22.1,20.3,17.4,75,40,0,8.8,60.0,16.0
30,1018.9,25.2,22.4,20.4,17.7,75,56,1,6.0,100.0,15.7
1,1017.6,25.1,22.9,22.0,19.0,79,85,0,2.0,70.0,25.0
2,1017.1,25.0,23.3,22.2,19.6,80,69,1,6.3,70.0,15.9
3,1019.4,22.3,20.8,19.6,16.5,77,93,1,0.0,20.0,27.9
4,1021.1,21.0,19.5,18.4,14.9,75,88,1,0.6,50.0,37.9
5,1018.4,20.3,18.4,15.7,15.8,85,91,1,0.1,70.0,41.3
6,1021.3,18.1,16.6,15.4,12.2,76,91,1,0.1,10.0,28.4
7,1023.1,19.3,17.3,15.4,12.1,72,86,0,0.9,10.0,21.8
8,1022.2,19.0,18.0,17.0,14.1,78,90,1,0.0,30.0,28.5
9,1016.8,18.9,17.7,16.9,16.8,95,95,1,0.0,60.0,35.1
10,1015.5,20.9,19.3,17.6,16.8,86,80,1,5.1,20.0,10.2
11,1016.4,23.0,19.9,17.9,15.5,76,72,0,6.3,60.0,20.7
12,1016.2,20.7,20.0,19.4,17.1,83,88,0,0.2,70.0,39.5
13,1016.4,21.0,20.4,19.7,17.8,85,83,1,0.0,70.0,30.3
14,1016.6,21.3,20.4,19.1,17.3,82,84,1,0.4,50.0,20.3
15,1019.0,20.4,18.4,16.0,12.6,69,70,1,2.2,10.0,26.8
16,1022.5,17.2,15.2,13.4,4.3,49,11,0,9.3,10.0,48.0
17,1025.9,15.2,13.2,11.5,-0.4,39,25,0,9.1,20.0,35.6
18,1026.4,16.5,13.9,11.3,3.1,48,11,0,9.5,40.0,25.2
19,1025.4,18.2,16.2,13.8,8.7,62,71,0,2.1,30.0,29.0
20,1022.5,18.6,17.6,17.0,12.9,75,88,1,0.0,40.0,19.0
21,1021.3,21.1,19.4,17.1,16.2,82,87,1,1.6,50.0,22.5
22,1020.3,20.6,19.9,18.7,17.6,87,88,1,0.3,60.0,27.3
23,1017.8,22.3,21.1,19.8,19.6,91,79,1,0.0,40.0,15.0
24,1016.8,24.7,22.3,21.1,20.7,91,70,1,6.0,40.0,9.4
25,1020.4,21.4,18.2,16.1,13.5,75,89,1,0.7,10.0,27.6
26,1020.6,19.7,17.9,16.9,13.3,74,87,0,0.6,30.0,21.6
27,1022.7,18.8,17.7,16.9,15.0,84,90,1,0.0,30.0,18.4
28,1026.6,18.6,17.3,16.3,12.8,75,85,1,1.0,20.0,25.9
29,1025.9,18.9,17.7,16.4,13.3,75,78,1,4.6,70.0,33.4
30,1025.3,19.2,17.3,15.2,13.3,78,86,1,1.2,20.0,20.9
31,1026.4,20.5,17.8,15.5,13.0,74,66,0,5.7,20.0,23.3
